max_num_records,72,96,120,152,192,240,304,384,480,600,752,944,1024
500000,0,1,6,6,1,9,1,1,1,1,5,9,13
1000000,0,1,8,9,0,12,1,1,1,0,4,8,9
1500000,0,1,11,12,0,12,1,1,1,0,3,6,6
2000000,0,1,12,12,0,11,1,1,1,0,3,6,6
2500000,0,1,13,12,0,10,1,1,1,0,3,6,6
3000000,0,1,12,12,0,11,1,1,1,0,3,6,6
3500000,0,1,12,12,0,11,1,1,1,0,3,6,6
4000000,0,1,12,13,0,11,1,1,1,0,3,5,6
4500000,0,1,13,13,0,10,1,1,1,0,3,5,6
5000000,0,1,13,13,0,10,1,1,1,0,3,5,6
5500000,0,1,13,13,0,10,1,1,1,0,3,5,6
6000000,0,1,13,13,0,10,1,1,1,0,3,5,6
6500000,0,1,13,12,0,11,1,1,1,0,3,5,6
7000000,0,1,13,12,0,11,1,1,1,0,3,5,6
7500000,0,1,13,12,0,11,1,1,1,0,3,5,6
8000000,0,1,13,12,0,11,1,1,1,0,3,5,6
8500000,0,1,13,12,0,11,1,1,1,0,3,5,6
9000000,0,1,13,12,0,11,1,1,1,0,3,5,6
9500000,0,1,13,12,0,11,1,1,1,0,3,5,6
10000000,0,1,13,12,0,11,1,1,1,0,3,5,6
10500000,0,1,13,12,0,11,1,1,1,0,3,5,6
11000000,0,1,13,12,0,11,1,1,1,0,3,5,6
11500000,0,1,13,12,0,11,1,1,1,0,3,5,6
12000000,0,1,12,12,0,10,1,1,1,0,3,6,7
