96,120,152,192,240,304,384,480,600,752,944,1024,total_miss_ratio,total_slab_cnt,96_miss_ratio,96_miss_ratio_delta,96_access_freq,120_miss_ratio,120_miss_ratio_delta,120_access_freq,152_miss_ratio,152_miss_ratio_delta,152_access_freq,192_miss_ratio,192_miss_ratio_delta,192_access_freq,240_miss_ratio,240_miss_ratio_delta,240_access_freq,304_miss_ratio,304_miss_ratio_delta,304_access_freq,384_miss_ratio,384_miss_ratio_delta,384_access_freq,480_miss_ratio,480_miss_ratio_delta,480_access_freq,600_miss_ratio,600_miss_ratio_delta,600_access_freq,752_miss_ratio,752_miss_ratio_delta,752_access_freq,944_miss_ratio,944_miss_ratio_delta,944_access_freq,1024_miss_ratio,1024_miss_ratio_delta,1024_access_freq
0,0,1,0,0,0,0,0,0,0,0,0,0.909112,1,1.000000,inf,52457,1.000000,inf,2671077,0.596925,0.403075,2705847,1.000000,inf,11849,1.000000,inf,2475555,1.000000,inf,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,1.000000,inf,730982,1.000000,inf,1425977,1.000000,inf,1426661
0,1,1,0,0,0,0,0,0,0,0,0,0.831489,2,1.000000,inf,52457,0.651275,0.348725,2671077,0.596925,0.403075,2705847,1.000000,inf,11849,1.000000,inf,2475555,1.000000,inf,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,1.000000,inf,730982,1.000000,inf,1425977,1.000000,inf,1426661
0,1,1,0,1,0,0,0,0,0,0,0,0.759777,3,1.000000,inf,52457,0.651275,0.348725,2671077,0.596925,0.403075,2705847,1.000000,inf,11849,0.652383,0.347617,2475555,1.000000,inf,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,1.000000,inf,730982,1.000000,inf,1425977,1.000000,inf,1426661
0,1,1,0,1,0,0,0,0,0,1,0,0.720052,4,1.000000,inf,52457,0.651275,0.348725,2671077,0.596925,0.403075,2705847,1.000000,inf,11849,0.652383,0.347617,2475555,1.000000,inf,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,1.000000,inf,730982,0.665701,0.334299,1425977,1.000000,inf,1426661
0,1,1,0,1,0,0,0,0,0,1,1,0.681329,5,1.000000,inf,52457,0.651275,0.348725,2671077,0.596925,0.403075,2705847,1.000000,inf,11849,0.652383,0.347617,2475555,1.000000,inf,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,1.000000,inf,730982,0.665701,0.334299,1425977,0.674295,0.325705,1426661
0,1,1,0,1,0,0,0,0,1,1,1,0.652902,6,1.000000,inf,52457,0.651275,0.348725,2671077,0.596925,0.403075,2705847,1.000000,inf,11849,0.652383,0.347617,2475555,1.000000,inf,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.665701,0.334299,1425977,0.674295,0.325705,1426661
0,1,1,0,1,0,0,0,0,1,2,1,0.633831,7,1.000000,inf,52457,0.651275,0.348725,2671077,0.596925,0.403075,2705847,1.000000,inf,11849,0.652383,0.347617,2475555,1.000000,inf,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.505219,0.160483,1425977,0.674295,0.325705,1426661
0,1,1,0,1,0,0,0,0,1,2,2,0.616660,8,1.000000,inf,52457,0.651275,0.348725,2671077,0.596925,0.403075,2705847,1.000000,inf,11849,0.652383,0.347617,2475555,1.000000,inf,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.505219,0.160483,1425977,0.529862,0.144433,1426661
0,2,1,0,1,0,0,0,0,1,2,2,0.601247,9,1.000000,inf,52457,0.582030,0.069245,2671077,0.596925,0.403075,2705847,1.000000,inf,11849,0.652383,0.347617,2475555,1.000000,inf,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.505219,0.160483,1425977,0.529862,0.144433,1426661
0,2,2,0,1,0,0,0,0,1,2,2,0.586142,10,1.000000,inf,52457,0.582030,0.069245,2671077,0.529938,0.066986,2705847,1.000000,inf,11849,0.652383,0.347617,2475555,1.000000,inf,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.505219,0.160483,1425977,0.529862,0.144433,1426661
0,2,2,0,1,1,0,0,0,1,2,2,0.571526,11,1.000000,inf,52457,0.582030,0.069245,2671077,0.529938,0.066986,2705847,1.000000,inf,11849,0.652383,0.347617,2475555,0.447406,0.552594,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.505219,0.160483,1425977,0.529862,0.144433,1426661
0,2,2,0,2,1,0,0,0,1,2,2,0.558936,12,1.000000,inf,52457,0.582030,0.069245,2671077,0.529938,0.066986,2705847,1.000000,inf,11849,0.591355,0.061028,2475555,0.447406,0.552594,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.505219,0.160483,1425977,0.529862,0.144433,1426661
0,2,2,0,3,1,0,0,0,1,2,2,0.550345,13,1.000000,inf,52457,0.582030,0.069245,2671077,0.529938,0.066986,2705847,1.000000,inf,11849,0.549707,0.041648,2475555,0.447406,0.552594,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.505219,0.160483,1425977,0.529862,0.144433,1426661
0,3,2,0,3,1,0,0,0,1,2,2,0.542100,14,1.000000,inf,52457,0.544990,0.037040,2671077,0.529938,0.066986,2705847,1.000000,inf,11849,0.549707,0.041648,2475555,0.447406,0.552594,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.505219,0.160483,1425977,0.529862,0.144433,1426661
0,3,3,0,3,1,0,0,0,1,2,2,0.534376,15,1.000000,inf,52457,0.544990,0.037040,2671077,0.495684,0.034255,2705847,1.000000,inf,11849,0.549707,0.041648,2475555,0.447406,0.552594,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.505219,0.160483,1425977,0.529862,0.144433,1426661
0,4,3,0,3,1,0,0,0,1,2,2,0.528599,16,1.000000,inf,52457,0.519037,0.025953,2671077,0.495684,0.034255,2705847,1.000000,inf,11849,0.549707,0.041648,2475555,0.447406,0.552594,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.505219,0.160483,1425977,0.529862,0.144433,1426661
0,4,3,0,4,1,0,0,0,1,2,2,0.523313,17,1.000000,inf,52457,0.519037,0.025953,2671077,0.495684,0.034255,2705847,1.000000,inf,11849,0.524083,0.025624,2475555,0.447406,0.552594,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.505219,0.160483,1425977,0.529862,0.144433,1426661
0,4,4,0,4,1,0,0,0,1,2,2,0.518082,18,1.000000,inf,52457,0.519037,0.025953,2671077,0.472485,0.023199,2705847,1.000000,inf,11849,0.524083,0.025624,2475555,0.447406,0.552594,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.505219,0.160483,1425977,0.529862,0.144433,1426661
0,4,4,0,4,1,0,0,0,1,2,3,0.513418,19,1.000000,inf,52457,0.519037,0.025953,2671077,0.472485,0.023199,2705847,1.000000,inf,11849,0.524083,0.025624,2475555,0.447406,0.552594,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.505219,0.160483,1425977,0.490636,0.039226,1426661
0,5,4,0,4,1,0,0,0,1,2,3,0.508838,20,1.000000,inf,52457,0.498459,0.020578,2671077,0.472485,0.023199,2705847,1.000000,inf,11849,0.524083,0.025624,2475555,0.447406,0.552594,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.505219,0.160483,1425977,0.490636,0.039226,1426661
0,5,4,0,4,1,0,0,0,1,3,3,0.504388,21,1.000000,inf,52457,0.498459,0.020578,2671077,0.472485,0.023199,2705847,1.000000,inf,11849,0.524083,0.025624,2475555,0.447406,0.552594,317394,1.000000,inf,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.467774,0.037445,1425977,0.490636,0.039226,1426661
0,5,4,0,4,1,1,0,0,1,3,3,0.500007,22,1.000000,inf,52457,0.498459,0.020578,2671077,0.472485,0.023199,2705847,1.000000,inf,11849,0.524083,0.025624,2475555,0.447406,0.552594,317394,0.532559,0.467441,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.467774,0.037445,1425977,0.490636,0.039226,1426661
0,5,4,0,5,1,1,0,0,1,3,3,0.496020,23,1.000000,inf,52457,0.498459,0.020578,2671077,0.472485,0.023199,2705847,1.000000,inf,11849,0.504755,0.019328,2475555,0.447406,0.552594,317394,0.532559,0.467441,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.467774,0.037445,1425977,0.490636,0.039226,1426661
0,5,5,0,5,1,1,0,0,1,3,3,0.492033,24,1.000000,inf,52457,0.498459,0.020578,2671077,0.454803,0.017681,2705847,1.000000,inf,11849,0.504755,0.019328,2475555,0.447406,0.552594,317394,0.532559,0.467441,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.467774,0.037445,1425977,0.490636,0.039226,1426661
0,6,5,0,5,1,1,0,0,1,3,3,0.488574,25,1.000000,inf,52457,0.482918,0.015541,2671077,0.454803,0.017681,2705847,1.000000,inf,11849,0.504755,0.019328,2475555,0.447406,0.552594,317394,0.532559,0.467441,112472,1.000000,inf,56526,1.000000,inf,13203,0.533328,0.466672,730982,0.467774,0.037445,1425977,0.490636,0.039226,1426661
0,6,5,0,5,1,1,0,0,2,3,3,0.485156,26,1.000000,inf,52457,0.482918,0.015541,2671077,0.454803,0.017681,2705847,1.000000,inf,11849,0.504755,0.019328,2475555,0.447406,0.552594,317394,0.532559,0.467441,112472,1.000000,inf,56526,1.000000,inf,13203,0.477228,0.056100,730982,0.467774,0.037445,1425977,0.490636,0.039226,1426661
0,6,6,0,5,1,1,0,0,2,3,3,0.481905,27,1.000000,inf,52457,0.482918,0.015541,2671077,0.440384,0.014419,2705847,1.000000,inf,11849,0.504755,0.019328,2475555,0.447406,0.552594,317394,0.532559,0.467441,112472,1.000000,inf,56526,1.000000,inf,13203,0.477228,0.056100,730982,0.467774,0.037445,1425977,0.490636,0.039226,1426661
0,6,6,0,6,1,1,0,0,2,3,3,0.478773,28,1.000000,inf,52457,0.482918,0.015541,2671077,0.440384,0.014419,2705847,1.000000,inf,11849,0.489571,0.015184,2475555,0.447406,0.552594,317394,0.532559,0.467441,112472,1.000000,inf,56526,1.000000,inf,13203,0.477228,0.056100,730982,0.467774,0.037445,1425977,0.490636,0.039226,1426661
